index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,3,8,,3,3,3,
3,2,4,,,3,3,,
4,3,5,10,,3,3,3,
5,4,6,,,3,3,,
6,5,,,,3,,,
7,,,,1,,,,3
8,,,14,2,,,3,3
9,,,15,,,,4,
10,,11,,4,,3,,3
11,10,12,17,,3,3,3,
12,11,,,,3,,,
13,,14,19,,,3,3,
14,13,15,20,8,3,3,3,3
15,14,,21,9,3,,4,4
16,,17,,,,4,,
17,16,18,23,11,4,3,3,3
18,17,,24,,3,,3,
19,,20,,13,,3,,3
20,19,,26,14,3,,3,3
21,,,,15,,,,4
22,,23,28,,,3,3,
23,22,24,29,17,3,3,3,3
24,23,,,18,3,,,3
25,,26,,,,3,,
26,25,27,,20,3,3,,3
27,26,28,33,,3,3,3,
28,27,,34,22,3,,3,3
29,,,35,23,,,3,3
30,,,36,,,,3,
31,,32,37,,,4,3,
32,31,,,,4,,,
33,,,39,27,,,3,3
34,,35,,28,,3,,3
35,34,36,,29,3,3,,3
36,35,,42,30,3,,3,3
37,,38,43,31,,3,3,3
38,37,39,44,,3,3,3,
39,38,40,,33,3,3,,3
40,39,41,46,,3,3,3,
41,40,42,,,3,3,,
42,41,,48,36,3,,3,3
43,,,,37,,,,3
44,,45,,38,,3,,3
45,44,,,,3,,,
46,,47,,40,,3,,3
47,46,,,,3,,,
48,,,,42,,,,3
