index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,3,8,,,3,3,
3,2,,9,,3,,4,
4,,,10,,,,3,
5,,6,11,,,3,3,
6,5,,12,,3,,3,
7,,,13,1,,,3,3
8,,,14,2,,,3,3
9,,,,3,,,,4
10,,11,,4,,3,,3
11,10,,17,5,3,,3,3
12,,,,6,,,,3
13,,14,19,7,,3,3,3
14,13,15,,8,3,3,,3
15,14,16,21,,3,3,3,
16,15,17,22,,3,3,3,
17,16,,,11,3,,,3
18,,,24,,,,3,
19,,20,25,13,,4,3,3
20,19,,,,4,,,
21,,22,,15,,3,,3
22,21,23,28,16,3,3,3,3
23,22,24,,,3,3,,
24,23,,,18,3,,,3
25,,26,,19,,3,,3
26,25,,32,,3,,3,
27,,,33,,,,4,
28,,,34,22,,,3,3
29,,,35,,,,3,
30,,,36,,,,3,
31,,32,37,,,3,3,
32,31,33,,26,3,3,,3
33,32,34,39,27,3,3,3,4
34,33,,40,28,3,,3,3
35,,36,41,29,,3,3,3
36,35,,42,30,3,,3,3
37,,38,43,31,,3,3,3
38,37,,44,,3,,3,
39,,,45,33,,,3,3
40,,41,,34,,3,,3
41,40,,,35,3,,,3
42,,,48,36,,,3,3
43,,,,37,,,,3
44,,,,38,,,,3
45,,,,39,,,,3
46,,47,,,,3,,
47,46,48,,,3,3,,
48,47,,,42,3,,,3
