index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,8,,3,3,3,
3,2,4,,,3,3,,
4,3,5,,,3,3,,
5,4,6,11,,3,3,3,
6,5,,,,3,,,
7,,8,13,,,3,3,
8,7,9,14,2,3,3,3,3
9,8,,,,3,,,
10,,11,,,,3,,
11,10,12,17,5,3,3,3,3
12,11,,,,3,,,
13,,,19,7,,,3,3
14,,,20,8,,,3,3
15,,,21,,,,3,
16,,17,,,,3,,
17,16,18,23,11,3,3,3,3
18,17,,24,,3,,3,
19,,20,,13,,3,,3
20,19,21,26,14,3,3,3,3
21,20,22,,15,3,3,,3
22,21,23,,,3,3,,
23,22,,,17,3,,,3
24,,,30,18,,,3,3
25,,26,31,,,3,3,
26,25,27,32,20,3,3,3,3
27,26,,33,,3,,3,
28,,,34,,,,4,
29,,30,35,,,3,3,
30,29,,36,24,3,,3,3
31,,,37,25,,,3,3
32,,,38,26,,,3,3
33,,,,27,,,,3
34,,35,40,28,,3,3,4
35,34,36,41,29,3,3,3,3
36,35,,,30,3,,,3
37,,38,,31,,3,,3
38,37,39,44,32,3,3,3,3
39,38,,,,3,,,
40,,41,46,34,,3,3,3
41,40,42,47,35,3,3,3,3
42,41,,,,3,,,
43,,44,,,,3,,
44,43,45,,38,3,3,,3
45,44,46,,,3,3,,
46,45,,,40,3,,,3
47,,48,,41,,3,,3
48,47,,,,3,,,
