index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,3,,,,3,,
3,2,,9,,3,,3,
4,,5,,,,3,,
5,4,,11,,3,,3,
6,,,12,,,,3,
7,,,13,1,,,3,3
8,,9,14,,,3,3,
9,8,10,15,3,3,3,3,3
10,9,11,16,,3,3,4,
11,10,12,17,5,3,3,3,3
12,11,,18,6,3,,3,3
13,,14,19,7,,3,3,3
14,13,,20,8,3,,3,3
15,,,21,9,,,3,3
16,,,,10,,,,4
17,,18,23,11,,3,3,3
18,17,,24,12,3,,3,3
19,,20,25,13,,3,3,3
20,19,,,14,3,,,3
21,,,,15,,,,3
22,,23,28,,,3,3,
23,22,24,,17,3,3,,3
24,23,,,18,3,,,3
25,,26,31,19,,3,3,3
26,25,,32,,3,,3,
27,,,33,,,,3,
28,,29,34,22,,3,3,3
29,28,,35,,3,,3,
30,,,36,,,,3,
31,,,37,25,,,3,3
32,,33,,26,,3,,3
33,32,34,39,27,3,3,3,3
34,33,,,28,3,,,3
35,,36,,29,,3,,3
36,35,,42,30,3,,3,3
37,,,43,31,,,3,3
38,,39,44,,,3,3,
39,38,40,45,33,3,3,3,3
40,39,41,,,3,3,,
41,40,42,47,,3,3,3,
42,41,,48,36,3,,3,3
43,,,,37,,,,3
44,,,,38,,,,3
45,,,,39,,,,3
46,,47,,,,3,,
47,46,,,41,3,,,3
48,,,,42,,,,3
